speed,dist
55,326
61,326
65,327
58,334
58,335
57,336
57,336
55,337
61,337
61,338
55,339
56,340
61,342
54,344
62,345
58,345
54,348
54,351
56,351
59,351
56,351
55,352
57,353
62,353
62,353
58,354
57,355
57,357
61,357
57,357
57,402
57,402
59,402
58,402
58,402
59,402
59,402
54,402
59,403
55,403
56,403
56,403
56,403
63,403
56,403
58,403
55,403
56,403
60,404
60,404
61,404
54,404
55,404
58,404
62,404
59,405
61,405
57,405
57,405
55,405
57,552
59,552
57,552
56,552
59,552
56,553
55.3,553
57,553
58,553
58,553
60,553
56,554
59,554
57,554
57,554
60,554
58,554
54,554
60,554
59,554
59,554
60,554
58,554
56,554
60,554
59,554
58,554
59,554
58,554
58,554
57,2757
69,2757
56,2757
57,2759
56,2759
58,2759
62,2759
62,2759
59,2760
58,2760
56,2760
54,2760
55,2760
58,2760
56,2760
55,2760
59,2760
55,2761
57,2761
55,2761
57,2761
56,2761
58,2761
59,2762
56,2762
53,2762
58,2762
54,2762
58,2762
59,2762
56,2762
54,2762
63,2762
57,2762
55,2762
60,2762
56,2763
57,2763
57,2763
60,2763
56,2763
58,2764
59,2764
60,2765
60,2765
60,2765
62,2765
59,2765
57,2765
56,2766
57,2766
56,2766
55,2767
57,2767
55,2767
64,2767
59,2768
56,2768
58,2768
57,2768
59,2768
56,2769
60,2770
59,2770
57,2770
57,2770
56,2770
58,2770
58,2770
57,2770
59,2770
56,2771
60,2771
57,2771
55,2771
59,2772
57,2772
55,2772
56,2772
61,2772
56,2773
62,2773
61,2774
55,2774
55,2774
54,2774
61,2775
56.4,2776
58,2776
57,2776
56,2776
57,2776
56,2776
56,2776
60.5,2776
56,2776
58,2777
58,2777
57,2777
58,2777
60,2777
55,2777
60,2777
59,2777
57,2777
59,2777
57,2777
58,2777
57,2777
61,2777
63,2777
58,2777
58,2777
59,2777
60,2777
58,2777
60,2777
55,2778
56,2779
56,2779
57,2780
58,2780
54,2780
55,2780
59,2780
60,2781
56,2781
56,2781
63,2782
64,2782
56,2782
62,2782
60,2782
58,2782
57,2782
59,2782
60,2782
67,2782
59,2782
55,2783
54,2784
56,2784
58,2787
57,2787
56,2787
60,2788
60,2788
56,2788
56,2788
64,2788
55,2788
58,2788
59,2788
52,2789
54,2789
58,2789
58,2789
56,2789
56,2789
56,2789
57,2789
61,2789
57,2789
60,2789
60,2789
59,2789
56,2790
59,2790
55,2790
62,2790
59,2790
55.8,2791
56,2791
59,2792
59,2792
55,2792
60,2792
60,2792
57,2792
56,2792
57,2793
57,2793
55,2793
56,2793
55,2793
56,2794
56,2795
60,2795
55,2795
60,2795
60,2795
57,2795
59,2795
57,2795
60,2795
58,2796
59,2797
60,2797
60,2797
58,2797
60,2797
55,2797
56,2797
58,2797
58,2797
56,2797
66,2797
57,2797
60,2797
60,2797
59,2798
62,2799
54,2799
57,2799
56,2800
59,2800
58,2800
56,2800
57,2800
57,2800
59,2800
60,2800
59,2800
56,2800
70,2800
55,2801
55,2801
58,2801
57,2801
58,2801
60,2801
58,2801
57,2801
58,2801
58,2801
58,2802
54,2802
55,2802
58,2802
58,2803
56,2803
56,2803
54,2803
58,2803
58,2803
